item ID (Read-Only),original ID,type,created (Read-Only),updated (Read-Only),read,notes,color,flag,ratings,doi,patent_id,pmid,pmcid,arxiv,file (Read-Only),year,Library URL,PDF URL,title,author,journal,abstract,journal abbreviation,pages,issn,issue,volume
0fc58989-d7fc-4500-bbac-dfefde3739f7,,article,2023-01-26T07:12:08Z,2024-09-20T12:44:56Z,true,,,false,,10.1101/2022.11.03.514906,,,,,Spatial cell type mapping of multiple sclerosis lesions,2022,https://app.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2/item/0fc58989-d7fc-4500-bbac-dfefde3739f7,https://www.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2:0fc58989-d7fc-4500-bbac-dfefde3739f7,Spatial cell type mapping of multiple sclerosis lesions,"Celia Lerma-Martin,Pau Badia-i-Mompel,Ricardo O. Ramirez Flores,Patricia Sekol,Annika Hofmann,Thomas Thäwel,Christian J. Riedl,Florian Wünnemann,Miguel A. Ibarra-Arellano,Tim Trobisch,Philipp Eisele,Denis Schapiro,Maximilian Haeussler,Simon Hametner,Julio Saez-Rodriguez,Lucas Schirmer",bioRxiv,"Multiple sclerosis (MS) is a prototypic chronic-inflammatory disease of the central nervous system. After initial lesion formation during active demyelination, inflammation is gradually compartmentalized and restricted to specific tissue areas such as the lesion rim in chronic-active lesions. However, the cell type-specific and spatially restricted drivers of chronic tissue damage and lesion expansion are not well understood. Here, we investigated the properties of subcortical white matter lesions by creating a cell type-specific spatial map of gene expression across various inflammatory lesion stages in MS. An integrated analysis of single-nucleus and spatial transcriptomics data enabled us to uncover patterns of glial, immune and stromal cell subtype diversity, as well as to identify cell-cell communication and signaling signatures across lesion and non-lesion tissue areas in MS. Our results provide insights into the conversion of the tissue microenvironment from a ‘homeostatic’ to a pathogenic or ‘dysfunctional’ state underlying lesion progression in MS. We expect that this study will help identify spatially resolved cell type-specific biomarkers and therapeutic targets for future interventional trials in MS.",bioRxiv,2022.11.03.514906
8878d59a-f2b3-4698-921b-985e8e11ec97,,article,2023-01-31T09:12:09Z,2023-10-25T18:11:54Z,true,,,false,,10.1111/ene.13819,,30300457,,,Multiple sclerosis – a review,2019,https://app.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2/item/8878d59a-f2b3-4698-921b-985e8e11ec97,https://www.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2:8878d59a-f2b3-4698-921b-985e8e11ec97,Multiple sclerosis – a review,"R. Dobson,G. Giovannoni",European Journal of Neurology,"Multiple sclerosis (MS) is the commonest non‐traumatic disabling disease to affect young adults. The incidence of MS is increasing worldwide, together with the socioeconomic impact of the disease. The underlying cause of MS and mechanisms behind this increase remain opaque, although complex gene–environment interactions almost certainly play a significant role. The epidemiology of MS indicates that low serum levels of vitamin D, smoking, childhood obesity and infection with the Epstein–Barr virus are likely to play a role in disease development. Changes in diagnostic methods and criteria mean that people with MS can be diagnosed increasingly early in their disease trajectory. Alongside this, treatments for MS have increased exponentially in number, efficacy and risk. There is now the possibility of a diagnosis of ‘pre‐symptomatic MS’ being made; as a result potentially preventive strategies could be studied. In this comprehensive review, MS epidemiology, potential aetiological factors and pathology are discussed, before moving on to clinical aspects of MS diagnosis and management.",Eur. J. Neurol.,27-40,1351-5101,1,26
c584ad5b-02ab-46ee-937c-cf547255005c,,article,2023-01-31T10:20:41Z,2023-10-25T18:11:53Z,true,"Lucas Schirmer also worked together with Calabresi (see the review ""Diversity and Function of Glial Cell Types in ..."")",,false,,10.1056/nejmra1401483,,29320652,PMC6942519,,Multiple Sclerosis,2018,https://app.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2/item/c584ad5b-02ab-46ee-937c-cf547255005c,https://www.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2:c584ad5b-02ab-46ee-937c-cf547255005c,Multiple Sclerosis,"Daniel S. Reich,Claudia F. Lucchinetti,Peter A. Calabresi",New England Journal of Medicine,Multiple Sclerosis Multiple sclerosis affects more than 2 million people worldwide and is currently incurable. A number of interventions to modify the course of multiple sclerosis have been develop...,N. Engl. J. Med.,169-180,0028-4793,2,378
4065db7f-6988-46f2-b444-506a9b32331c,,article,2023-02-09T09:43:55Z,2023-10-25T18:11:20Z,true,I think this an interesting example of a Mendelian randomization study,,false,,10.1212/nxg.0000000000000097,,27652346,PMC5022843,,Mendelian randomization shows a causal effect of low vitamin D on multiple sclerosis risk.pdf,2016,https://app.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2/item/4065db7f-6988-46f2-b444-506a9b32331c,https://www.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2:4065db7f-6988-46f2-b444-506a9b32331c,Mendelian randomization shows a causal effect of low vitamin D on multiple sclerosis risk,"Brooke Rhead,Maria Bäärnhielm,Milena Gianfrancesco,Amanda Mok,Xiaorong Shao,Hong Quach,Ling Shen,Catherine Schaefer,Jenny Link,Alexandra Gyllenberg,Anna Karin Hedström,Tomas Olsson,Jan Hillert,Ingrid Kockum,M. Maria Glymour,Lars Alfredsson,Lisa F. Barcellos",Neurology: Genetics,"Objective: We sought to estimate the causal effect of low serum 25(OH)D on multiple sclerosis (MS) susceptibility that is not confounded by environmental or lifestyle factors or subject to reverse causality. Methods: We conducted mendelian randomization (MR) analyses using an instrumental variable (IV) comprising 3 single nucleotide polymorphisms found to be associated with serum 25(OH)D levels at genome-wide significance. We analyzed the effect of the IV on MS risk and both age at onset and disease severity in 2 separate populations using logistic regression models that controlled for sex, year of birth, smoking, education, genetic ancestry, body mass index at age 18–20 years or in 20s, a weighted genetic risk score for 110 known MS-associated variants, and the presence of one or more HLA-DRB1&ast;15:01 alleles. Results: Findings from MR analyses using the IV showed increasing levels of 25(OH)D are associated with a decreased risk of MS in both populations. In white, non-Hispanic members of Kaiser Permanente Northern California (1,056 MS cases and 9,015 controls), the odds ratio (OR) was 0.79 (p = 0.04, 95&percnt; confidence interval (CI): 0.64–0.99). In members of a Swedish population from the Epidemiological Investigation of Multiple Sclerosis and Genes and Environment in Multiple Sclerosis MS case-control studies (6,335 cases and 5,762 controls), the OR was 0.86 (p = 0.03, 95&percnt; CI: 0.76–0.98). A meta-analysis of the 2 populations gave a combined OR of 0.85 (p = 0.003, 95&percnt; CI: 0.76–0.94). No association was observed for age at onset or disease severity. Conclusions: These results provide strong evidence that low serum 25(OH)D concentration is a cause of MS, independent of established risk factors.",Neurol.: Genet.,&NA;,2376-7839,5,2
4c102cdb-7534-4cc0-b233-67738961a3f7,,article,2023-02-09T15:20:38Z,2023-10-25T18:06:34Z,true,"Related to the review paper: ""The industrial genomic revolution: A new era in neuroimmunology"" ",,false,,10.1016/j.it.2021.01.005,,33593693,PMC7914214,,1-s2.0-S1471490621000053-main.pdf,2021,https://app.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2/item/4c102cdb-7534-4cc0-b233-67738961a3f7,https://www.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2:4c102cdb-7534-4cc0-b233-67738961a3f7,Diversity and Function of Glial Cell Types in Multiple Sclerosis,"Lucas Schirmer,Dorothy P. Schafer,Theresa Bartels,David H. Rowitch,Peter A. Calabresi",Trends in Immunology,"Glial subtype diversity is an emerging topic in neurobiology and immune-mediated neurological diseases such as multiple sclerosis (MS). We discuss recent conceptual and technological advances that allow a better understanding of the transcriptomic and functional heterogeneity of oligodendrocytes (OLs), astrocytes, and microglial cells under inflammatory–demyelinating conditions. Recent single cell transcriptomic studies suggest the occurrence of novel homeostatic and reactive glial subtypes and provide insight into the molecular events during disease progression. Multiplexed RNA in situ hybridization has enabled ‘mapping back’ dysregulated gene expression to glial subtypes within the MS lesion microenvironment. These findings suggest novel homeostatic and reactive glial-cell-type functions both in immune-related processes and neuroprotection relevant to understanding the pathology of MS.",Trends Immunol.,228-247,1471-4906,3,42
93b3a65d-2233-40ee-9321-fff3801f82f1,,article,2023-02-09T15:31:19Z,2024-08-08T08:48:58Z,true,Paper from Calbresi lab (which I read the review from and whom Lucas Schirmer works with),,false,,10.1038/s41586-021-03892-7,,34497421,PMC8719282,,"www.nature.com 09/02/2023, 16:31:26.pdf",2021,https://app.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2/item/93b3a65d-2233-40ee-9321-fff3801f82f1,https://www.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2:93b3a65d-2233-40ee-9321-fff3801f82f1,A lymphocyte–microglia–astrocyte axis in chronic active multiple sclerosis,"Martina Absinta,Dragan Maric,Marjan Gharagozloo,Thomas Garton,Matthew D. Smith,Jing Jin,Kathryn C. Fitzgerald,Anya Song,Poching Liu,Jing-Ping Lin,Tianxia Wu,Kory R. Johnson,Dorian B. McGavern,Dorothy P. Schafer,Peter A. Calabresi,Daniel S. Reich",Nature,"Multiple sclerosis (MS) lesions that do not resolve in the months after they form harbour ongoing demyelination and axon degeneration, and are identifiable in vivo by their paramagnetic rims on MRI scans1–3. Here, to define mechanisms underlying this disabling, progressive neurodegenerative state4–6 and foster development of new therapeutic agents, we used MRI-informed single-nucleus RNA sequencing to profile the edge of demyelinated white matter lesions at various stages of inflammation. We uncovered notable glial and immune cell diversity, especially at the chronically inflamed lesion edge. We define ‘microglia inflamed in MS’ (MIMS) and ‘astrocytes inflamed in MS’, glial phenotypes that demonstrate neurodegenerative programming. The MIMS transcriptional profile overlaps with that of microglia in other neurodegenerative diseases, suggesting that primary and secondary neurodegeneration share common mechanisms and could benefit from similar therapeutic approaches. We identify complement component 1q (C1q) as a critical mediator of MIMS activation, validated immunohistochemically in MS tissue, genetically by microglia-specific C1q ablation in mice with experimental autoimmune encephalomyelitis, and therapeutically by treating chronic experimental autoimmune encephalomyelitis with C1q blockade. C1q inhibition is a potential therapeutic avenue to address chronic white matter inflammation, which could be monitored by longitudinal assessment of its dynamic biomarker, paramagnetic rim lesions, using advanced MRI methods. Single-nucleus transcriptomics defines a diverse set of immune and glial cells at the chronically inflamed leading edge of demyelinated white matter lesions in patients with multiple sclerosis.",Nature,709-714,0028-0836,7878,597
5ed26dc1-c274-4f98-ac36-8adfca758b83,,article,2023-02-10T13:51:38Z,2023-10-25T18:14:07Z,true,,,false,,10.1016/s1474-4422(08)70173-x,,18703004,,,1-s2.0-S147444220870173X-main.pdf,2008,https://app.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2/item/5ed26dc1-c274-4f98-ac36-8adfca758b83,https://www.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2:5ed26dc1-c274-4f98-ac36-8adfca758b83,"Repeated subcutaneous injections of IL12/23 p40 neutralising antibody, ustekinumab, in patients with relapsing-remitting multiple sclerosis: a phase II, double-blind, placebo-controlled, randomised, dose-ranging study","Benjamin M Segal,Cris S Constantinescu,Aparna Raychaudhuri,Lilianne Kim,Rosanne Fidelus-Gort,Lloyd H Kasper,on behalf of the Ustekinumab MS Investigators",The Lancet Neurology,"BackgroundRepeated subcutaneous injections of a monoclonal antibody against the p40 subunit of interleukins 12 and 23, ustekinumab, were used to treat patients with relapsing-remitting multiple sclerosis (RRMS) to assess the drug's safety, efficacy, and pharmacokinetics.MethodsIn this phase II, multicentre, randomised, double-blind, placebo-controlled study, 249 patients with RRMS, aged 18–65 years, were eligible to be assigned equally (by a central randomisation procedure based on study site and presence or absence of gadolinium-enhancing T1-weighted lesions at baseline) to one of five groups that received placebo or four different ustekinumab dosages at weeks 0, 1, 2, 3, 7, 11, 15, and 19. Ustekinumab doses were 27 mg, 90 mg q8w, 90 mg, or 180 mg; the 90 mg q8w dosage group received placebo substitute at weeks 7 and 15. The primary endpoint was the cumulative number of new gadolinium-enhancing T1-weighted lesions on serial cranial MRI through week 23. Patients were followed up through week 37. Analysis was by intention to treat. This trial is registered with ClinicalTrials.gov, number NCT00207727.FindingsFrom August, 2004, to December, 2006, 249 patients underwent randomisation (49 for placebo; 50 for each ustekinumab group). Ustekinumab treatment did not show a significant reduction in the primary endpoint for any dosage groups versus placebo. At week 37, adverse events occurred in 38 (78%) placebo-treated patients and 170 (85%) ustekinumab-treated patients, with infections most commonly reported. Serious adverse events occurred in one (2%) placebo-treated patient and six (3%) ustekinumab-treated patients. Malignant diseases were reported in two patients shortly after the initiation of ustekinumab treatment; both patients were withdrawn from the trial and given appropriate treatment, which resulted in complete remission. No serious infections, cardiovascular events, or exacerbation of demyelinating events occurred. A dose-dependent increase in serum concentrations of ustekinumab was recorded.InterpretationUstekinumab is generally well tolerated but does not show efficacy in reducing the cumulative number of gadolinium-enhancing T1-weighted lesions in multiple sclerosis.FundingCentocor Research & Development."," Lancet Neurol.",796-804,1474-4422,9,7
16bc0e13-81b0-4838-b43b-4b6fe6094a59,,article,2023-02-10T16:28:03Z,2023-10-25T18:10:44Z,true,,,false,,10.1093/brain/awm236,,17956913,PMC2981817,,"watermark.silverchair.com 10/02/2023, 17:28:03.pdf",2007,https://app.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2/item/16bc0e13-81b0-4838-b43b-4b6fe6094a59,https://www.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2:16bc0e13-81b0-4838-b43b-4b6fe6094a59,Lesion genesis in a subset of patients with multiple sclerosis: a role for innate immunity?,"Christina Marik,Paul A. Felts,Jan Bauer,Hans Lassmann,Kenneth J. Smith",Brain,"Lesions obtained early in the course of multiple sclerosis (MS) have been studied immunocytochemically, and compared with the early stages of the experimental lesion induced in rats by the intraspinal injection of lipopolysaccharide. Large hemispheric or double hemispheric sections were examined from patients who had died in the course of acute or early relapsing multiple sclerosis. In MS patients exhibiting hypoxia-like lesions [Pattern III; Lucchinetti et al. Ann Neurol (2000) 47: 707–17], focal areas in the white matter showed mild oedema, microglial activation and mild axonal injury in the absence of overt demyelination. In such lesions T-cell infiltration was mild and restricted to the perivascular space. Myeloperoxidase and the inducible form of nitric oxide synthase were expressed primarily by microglia, and the activated form of these cells was associated with extracellular deposition of precipitated fibrin. In addition, these lesions showed up-regulation of proteins involved in tissue preconditioning. When active demyelination started, lesions were associated with massive T-cell infiltration and microglia and macrophages expressed all activation markers studied. Similar tissue alterations were found in rats in the pre-demyelinating stage of lesions induced by the focal injection of bacterial lipopolysaccharide into the spinal white matter. We suggest that the areas of microglial activation represent an early stage of tissue injury, which precedes the formation of hypoxia-like demyelinated plaques. The findings indicate that mechanisms associated with innate immunity may play a role in the formation of hypoxia-like demyelinating lesions in MS.",Brain,2800-2815,0006-8950,11,130
e7cd2c30-0e75-4f01-b522-6eb95a753b91,,article,2023-04-03T06:16:12Z,2023-10-25T18:13:19Z,false,I haven’t seen this paper before. But it’s from Julio and about MS!,,false,,10.1186/s13073-021-00925-8,,34271980,PMC8284018,,Prediction of combination therapies based on topological modeling of the immune signaling network in multiple sclerosis,2021,https://app.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2/item/e7cd2c30-0e75-4f01-b522-6eb95a753b91,https://www.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2:e7cd2c30-0e75-4f01-b522-6eb95a753b91,Prediction of combination therapies based on topological modeling of the immune signaling network in multiple sclerosis,"Marti Bernardo-Faura,Melanie Rinas,Jakob Wirbel,Inna Pertsovskaya,Vicky Pliaka,Dimitris E. Messinis,Gemma Vila,Theodore Sakellaropoulos,Wolfgang Faigle,Pernilla Stridh,Janina R. Behrens,Tomas Olsson,Roland Martin,Friedemann Paul,Leonidas G. Alexopoulos,Pablo Villoslada,Julio Saez-Rodriguez",Genome Medicine,"Multiple sclerosis (MS) is a major health problem, leading to a significant disability and patient suffering. Although chronic activation of the immune system is a hallmark of the disease, its pathogenesis is poorly understood, while current treatments only ameliorate the disease and may produce severe side effects. Here, we applied a network-based modeling approach based on phosphoproteomic data to uncover the differential activation in signaling wiring between healthy donors, untreated patients, and those under different treatments. Based in the patient-specific networks, we aimed to create a new approach to identify drug combinations that revert signaling to a healthy-like state. We performed ex vivo multiplexed phosphoproteomic assays upon perturbations with multiple drugs and ligands in primary immune cells from 169 subjects (MS patients, n=129 and matched healthy controls, n=40). Patients were either untreated or treated with fingolimod, natalizumab, interferon-β, glatiramer acetate, or the experimental therapy epigallocatechin gallate (EGCG). We generated for each donor a dynamic logic model by fitting a bespoke literature-derived network of MS-related pathways to the perturbation data. Last, we developed an approach based on network topology to identify deregulated interactions whose activity could be reverted to a “healthy-like” status by combination therapy. The experimental autoimmune encephalomyelitis (EAE) mouse model of MS was used to validate the prediction of combination therapies. Analysis of the models uncovered features of healthy-, disease-, and drug-specific signaling networks. We predicted several combinations with approved MS drugs that could revert signaling to a healthy-like state. Specifically, TGF-β activated kinase 1 (TAK1) kinase, involved in Transforming growth factor β-1 proprotein (TGF-β), Toll-like receptor, B cell receptor, and response to inflammation pathways, was found to be highly deregulated and co-druggable with all MS drugs studied. One of these predicted combinations, fingolimod with a TAK1 inhibitor, was validated in an animal model of MS. Our approach based on donor-specific signaling networks enables prediction of targets for combination therapy for MS and other complex diseases.",Genome Med.,117,,1,13
2b622dca-1a81-48c0-b174-7079062d3b9e,,article,2023-04-06T08:00:00Z,2023-10-25T18:10:57Z,true,,,false,,10.1126/science.abj8222,,35025605,,,science.abj8222.pdf,2022,https://app.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2/item/2b622dca-1a81-48c0-b174-7079062d3b9e,https://www.readcube.com/library/7f591ab0-7097-419e-9414-60fb795b4eb2:2b622dca-1a81-48c0-b174-7079062d3b9e,Longitudinal analysis reveals high prevalence of Epstein-Barr virus associated with multiple sclerosis,"Kjetil Bjornevik,Marianna Cortese,Brian C. Healy,Jens Kuhle,Michael J. Mina,Yumei Leng,Stephen J. Elledge,David W. Niebuhr,Ann I. Scher,Kassandra L. Munger,Alberto Ascherio",Science,"Multiple sclerosis (MS) is a chronic inflammatory demyelinating disease of the central nervous system of unknown etiology. We tested the hypothesis that MS is caused by Epstein-Barr virus (EBV) in a cohort comprising more than 10 million young adults on active duty in the US military, 955 of whom were diagnosed with MS during their period of service. Risk of MS increased 32-fold after infection with EBV but was not increased after infection with other viruses, including the similarly transmitted cytomegalovirus. Serum levels of neurofilament light chain, a biomarker of neuroaxonal degeneration, increased only after EBV seroconversion. These findings cannot be explained by any known risk factor for MS and suggest EBV as the leading cause of MS.",Science,296-301,0036-8075,6578,375
